Epoch,Memory,trainBoxLoss,trainObjLoss,trainClsLoss,trainLoss,count,fixed,precision,recall,map05,map0595,valBoxLoss,valObjLoss,valClsLoss
41,9.14G,0.01681,0.006216,0.01292,0.03594,122,512,0.6605,0.6915,0.6899,0.6612,0.0135,0.003316,0.02373
42,9.14G,0.01664,0.006223,0.01275,0.03561,136,512,0.6655,0.6926,0.6907,0.662,0.01342,0.003329,0.02354
43,9.14G,0.01668,0.006234,0.01266,0.03557,92,512,0.6694,0.6958,0.6928,0.6633,0.01326,0.003353,0.02335
44,9.14G,0.01674,0.006157,0.01259,0.03549,103,512,0.6657,0.696,0.6936,0.6642,0.01319,0.003343,0.02318
45,9.14G,0.0166,0.006095,0.01255,0.03524,136,512,0.6656,0.6968,0.6939,0.6646,0.01309,0.003313,0.023
46,9.14G,0.0163,0.006062,0.01229,0.03466,151,512,0.6655,0.6975,0.6946,0.6655,0.01304,0.003306,0.02283
47,9.14G,0.0163,0.006078,0.01241,0.03478,112,512,0.6607,0.6974,0.695,0.6659,0.01296,0.003303,0.02272
48,9.14G,0.01636,0.00605,0.01231,0.03473,84,512,0.6612,0.6988,0.695,0.6657,0.01291,0.003305,0.02261
49,9.14G,0.0162,0.006031,0.01217,0.0344,85,512,0.6662,0.699,0.6959,0.6663,0.01293,0.003311,0.02249
50,9.14G,0.01593,0.005997,0.01202,0.03395,78,512,0.6669,0.6996,0.6963,0.6666,0.01287,0.003309,0.02239
51,9.14G,0.01607,0.006028,0.01202,0.03412,116,512,0.6681,0.7008,0.6968,0.6672,0.01282,0.003287,0.02229
52,9.14G,0.01592,0.005921,0.01194,0.03379,114,512,0.6692,0.7016,0.6963,0.6669,0.01278,0.003289,0.0222
53,9.14G,0.01592,0.005928,0.01178,0.03363,139,512,0.67,0.702,0.6967,0.6673,0.01274,0.003288,0.02214
54,9.14G,0.01596,0.006017,0.01204,0.03402,89,512,0.6693,0.7017,0.697,0.6677,0.01273,0.003285,0.02207
55,9.14G,0.01574,0.005911,0.01173,0.03338,95,512,0.6705,0.7031,0.6978,0.6683,0.01269,0.003277,0.022
56,9.14G,0.01575,0.005883,0.01178,0.03341,107,512,0.6708,0.7034,0.6983,0.6687,0.01264,0.003271,0.02192
57,9.14G,0.01582,0.005855,0.01163,0.03331,129,512,0.6708,0.7036,0.6995,0.6699,0.01261,0.003261,0.02186
58,9.14G,0.01565,0.005872,0.01174,0.03327,134,512,0.671,0.7035,0.6999,0.6699,0.01258,0.003268,0.0218
59,9.14G,0.01551,0.005871,0.01154,0.03293,109,512,0.6718,0.7034,0.7002,0.6701,0.01255,0.003273,0.02174
60,9.14G,0.01558,0.005874,0.01152,0.03297,103,512,0.6722,0.7035,0.7004,0.6703,0.01253,0.003272,0.02168
61,9.14G,0.01543,0.005762,0.0115,0.03269,86,512,0.6712,0.7039,0.7015,0.6712,0.01252,0.003268,0.02163
62,9.14G,0.01556,0.005758,0.01155,0.03286,138,512,0.6706,0.7047,0.7018,0.6716,0.0125,0.003266,0.02156
63,9.14G,0.01528,0.005781,0.01141,0.03248,89,512,0.6713,0.7058,0.7023,0.6719,0.01248,0.003261,0.02149
64,9.14G,0.01534,0.005716,0.01135,0.0324,106,512,0.6724,0.7066,0.7027,0.6722,0.01247,0.003261,0.02143
65,9.14G,0.01512,0.005738,0.01117,0.03203,117,512,0.6722,0.7069,0.7032,0.6725,0.01246,0.003259,0.02136
66,9.14G,0.01518,0.005767,0.01136,0.03231,130,512,0.6731,0.7073,0.7033,0.6728,0.01244,0.00326,0.02131
67,9.14G,0.01528,0.005705,0.01127,0.03226,129,512,0.6741,0.7084,0.7032,0.6727,0.01243,0.00326,0.02125
68,9.14G,0.01537,0.005701,0.01136,0.03243,128,512,0.6741,0.7085,0.7034,0.6728,0.01241,0.003254,0.0212
69,9.14G,0.01513,0.005732,0.01122,0.03208,145,512,0.6741,0.7089,0.7038,0.6733,0.01239,0.003253,0.02116
70,9.14G,0.01497,0.005695,0.01132,0.03199,159,512,0.6738,0.7088,0.7045,0.6739,0.01238,0.003252,0.0211
71,9.14G,0.01496,0.005633,0.01108,0.03167,95,512,0.6741,0.7091,0.7045,0.674,0.01237,0.003248,0.02105
72,9.14G,0.01499,0.005665,0.01103,0.03169,160,512,0.6746,0.7094,0.7047,0.6741,0.01236,0.003244,0.021
73,9.14G,0.01493,0.005622,0.01105,0.0316,79,512,0.6753,0.7099,0.7049,0.6742,0.01235,0.003239,0.02095
74,9.14G,0.0147,0.005563,0.01103,0.03129,94,512,0.6753,0.71,0.7051,0.6743,0.01235,0.003242,0.0209
75,9.14G,0.01483,0.005647,0.01093,0.03141,134,512,0.6753,0.7099,0.7053,0.6745,0.01234,0.003239,0.02084
76,9.14G,0.01487,0.005564,0.01093,0.03136,92,512,0.6759,0.7107,0.7053,0.6745,0.01234,0.003237,0.02079
77,9.14G,0.01469,0.005604,0.01098,0.03127,63,512,0.6767,0.7117,0.7058,0.675,0.01234,0.00324,0.02074
78,9.14G,0.01473,0.005636,0.01076,0.03113,120,512,0.6771,0.712,0.7062,0.6752,0.01234,0.003239,0.02069
79,9.14G,0.01457,0.005506,0.01069,0.03076,101,512,0.6776,0.7123,0.7066,0.676,0.01233,0.003239,0.02064
80,9.14G,0.0146,0.005533,0.01074,0.03087,81,512,0.6773,0.7123,0.7069,0.6763,0.01234,0.003239,0.02059
81,9.14G,0.01469,0.005588,0.01088,0.03116,85,512,0.6778,0.7126,0.7071,0.6764,0.01234,0.003239,0.02055
82,9.14G,0.01452,0.005594,0.01083,0.03095,99,512,0.6777,0.7124,0.7075,0.6767,0.01235,0.003241,0.0205
83,9.14G,0.01431,0.005495,0.01059,0.03039,81,512,0.6779,0.7121,0.7076,0.6767,0.01236,0.003243,0.02047
84,9.14G,0.01458,0.005513,0.01072,0.0308,104,512,0.6783,0.7121,0.7078,0.6769,0.01237,0.003244,0.02043
85,9.14G,0.01455,0.005541,0.0108,0.03089,118,512,0.6792,0.7131,0.708,0.6772,0.01238,0.003245,0.02039
86,9.14G,0.01429,0.005494,0.01076,0.03054,97,512,0.6794,0.7134,0.7084,0.6776,0.01239,0.003245,0.02035
87,9.14G,0.01422,0.005432,0.01061,0.03027,135,512,0.6799,0.7151,0.7088,0.6778,0.01241,0.003252,0.02032
88,9.14G,0.01448,0.005492,0.01061,0.03059,107,512,0.68,0.7155,0.7092,0.6781,0.01243,0.003259,0.02029
89,9.14G,0.0142,0.005442,0.01052,0.03016,108,512,0.6851,0.7159,0.7098,0.6785,0.01243,0.003258,0.02026
90,9.14G,0.01425,0.005433,0.01058,0.03027,89,512,0.6847,0.7153,0.7101,0.6786,0.01245,0.003264,0.02022
91,9.14G,0.01408,0.005347,0.01045,0.02987,137,512,0.6852,0.7158,0.7102,0.6788,0.01246,0.003268,0.02019
92,9.14G,0.01429,0.005455,0.01053,0.03027,84,512,0.6805,0.7134,0.7095,0.6783,0.01247,0.003273,0.02015
93,9.14G,0.01423,0.00542,0.01057,0.03022,104,512,0.6814,0.715,0.7099,0.6786,0.01247,0.003274,0.02012
94,9.14G,0.01422,0.005406,0.01047,0.0301,141,512,0.6817,0.7147,0.7103,0.679,0.01249,0.00328,0.02009
95,9.14G,0.01406,0.005363,0.01046,0.02989,112,512,0.6821,0.7148,0.7105,0.6792,0.0125,0.003278,0.02005
